CORRETORA,,,,Toro,Toro,Binance,Binance,Binance,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,MB,99 Bank,
ASSET,,,,Charles River FIA,Ibovespa,BTC,SOL,SUI,XLU,GLDM,VGK,XLV,IWD,XLC,VIG,CDB 5a 14.1%,LCD 85% - BRDE,Guepardo FIA,Daycoval Classic CP,West Asset BDR,XP CDI Debêntures,Schroder CP HG,Trend Investback,Ibiuna CP,Real Investor FIM,Legacy FIM CP,JGP Deb FIM CP,Tarpon GT 90 FIA,Ascensus 15 18%,Contas Correntes,Resgatados
DATA,TOTAL,DIFF,,R$0.00,R$17.10,R$918.04,-R$68.85,R$103.07,-R$0.12,R$0.06,R$0.00,R$0.00,-R$0.29,-R$0.29,-R$0.12,R$5.05,R$4.70,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$2.31,R$328.86,R$0.00
15-Feb/25,"R$322,064.68",R$0.00,,"R$30,650.11","R$59,889.94","R$10,677.26","R$2,067.65",R$875.66,R$137.35,R$211.07,R$137.69,R$55.50,R$424.82,R$430.15,R$118.91,"R$9,593.37","R$11,231.44","R$32,034.71","R$20,741.36","R$25,636.78","R$8,227.27","R$11,933.12",R$176.35,"R$24,395.08","R$21,912.46","R$10,598.69","R$12,602.20","R$15,632.82","R$2,530.23","R$9,043.25",R$99.43
16-Feb/25,"R$322,064.68",R$0.00,,"R$30,650.11","R$59,889.94","R$10,677.26","R$2,067.65",R$875.66,R$137.35,R$211.07,R$137.69,R$55.50,R$424.82,R$430.15,R$118.91,"R$9,593.37","R$11,231.44","R$32,034.71","R$20,741.36","R$25,636.78","R$8,227.27","R$11,933.12",R$176.35,"R$24,395.08","R$21,912.46","R$10,598.69","R$12,602.20","R$15,632.82","R$2,530.23","R$9,043.25",R$99.43
17-Feb/25,"R$322,620.14",R$555.47,,"R$30,650.11","R$59,882.60","R$10,666.21","R$1,904.47",R$821.56,R$136.87,R$210.75,R$137.15,R$55.27,R$423.45,R$427.79,R$118.48,"R$9,598.40","R$11,236.12","R$33,020.76","R$20,741.36","R$25,378.63","R$8,227.27","R$11,933.12",R$176.44,"R$24,410.89","R$21,939.99","R$10,598.69","R$12,602.20","R$15,632.82","R$2,533.68","R$9,050.87",R$99.43
18-Feb/25,"R$322,672.64",R$52.50,,"R$31,676.80","R$60,257.27","R$10,489.58","R$1,323.73",R$752.47,R$137.93,R$213.82,R$137.82,R$55.04,R$425.08,R$424.90,R$118.50,"R$9,603.42","R$11,240.80","R$33,132.67","R$20,763.02","R$25,365.73","R$8,234.85","R$11,946.64",R$176.53,"R$24,428.21","R$22,094.67","R$10,614.25","R$12,647.70","R$16,168.04","R$2,534.83","R$7,608.47",R$99.87
19-Feb/25,"R$322,490.05",-R$182.59,,"R$31,585.43","R$60,456.97","R$10,639.41","R$1,336.07",R$788.53,R$138.54,R$214.05,R$136.31,R$55.60,R$426.97,R$426.34,R$119.07,"R$9,608.45","R$11,245.49","R$32,709.09","R$20,773.52","R$25,247.31","R$8,236.99","R$11,952.89",R$176.61,"R$24,444.70","R$22,114.06","R$10,620.31","R$12,659.15","R$16,133.41","R$2,535.98","R$7,611.89",R$96.92
20-Feb/25,"R$322,042.69",-R$447.36,,"R$31,157.53","R$60,585.02","R$10,815.28","R$1,356.53",R$858.60,R$138.26,R$214.43,R$136.77,R$55.93,R$423.09,R$421.73,R$118.53,"R$9,613.48","R$11,250.17","R$32,217.58","R$20,785.21","R$25,454.07","R$8,244.99","R$11,959.23",R$176.70,"R$24,456.71","R$22,070.96","R$10,626.58","R$12,673.88","R$15,981.87","R$2,538.28","R$7,615.28",R$96.01
21-Feb/25,"R$322,054.06",R$11.36,,"R$31,395.58","R$60,991.57","R$10,664.40","R$1,348.34",R$825.76,R$138.73,R$214.06,R$136.45,R$55.82,R$418.93,R$417.96,R$117.24,"R$9,618.52","R$11,254.86","R$31,909.72","R$20,795.07","R$25,206.34","R$8,246.66","R$11,964.35",R$176.78,"R$24,469.15","R$22,038.26","R$10,631.05","R$12,686.81","R$16,083.25","R$2,538.28","R$7,617.91",R$92.20
22-Feb/25,"R$322,152.31",R$98.25,,"R$31,395.58","R$60,991.57","R$10,712.01","R$1,366.81",R$845.58,R$138.73,R$214.06,R$136.45,R$55.82,R$418.93,R$417.96,R$117.24,"R$9,623.55","R$11,259.55","R$31,909.72","R$20,795.07","R$25,206.34","R$8,246.66","R$11,964.35",R$176.78,"R$24,469.15","R$22,038.26","R$10,631.05","R$12,686.81","R$16,083.25","R$2,538.28","R$7,620.54",R$92.20
23-Feb/25,"R$321,946.87",-R$205.44,,"R$31,395.58","R$60,991.57","R$10,572.77","R$1,317.72",R$823.53,R$138.73,R$214.06,R$136.45,R$55.82,R$418.93,R$417.96,R$117.24,"R$9,623.55","R$11,259.55","R$31,909.72","R$20,795.07","R$25,206.34","R$8,246.66","R$11,964.35",R$176.78,"R$24,469.15","R$22,038.26","R$10,631.05","R$12,686.81","R$16,083.25","R$2,540.58","R$7,623.18",R$92.20
24-Feb/25,"R$320,832.19","-R$1,114.68",,"R$31,070.90","R$61,209.16","R$10,274.50","R$1,126.29",R$711.86,R$138.61,R$216.13,R$137.06,R$56.51,R$421.15,R$420.40,R$117.48,"R$9,623.55","R$11,259.55","R$31,795.31","R$20,806.89","R$24,784.59","R$8,253.94","R$11,971.17",R$176.86,"R$24,483.20","R$22,076.11","R$10,638.08","R$12,702.21","R$16,101.60","R$2,541.73","R$7,625.81",R$90.86
25-Feb/25,"R$319,118.97","-R$1,713.22",,"R$30,685.36","R$61,323.91","R$9,716.97","R$1,132.34",R$704.71,R$138.60,R$214.45,R$139.41,R$57.14,R$424.17,R$418.68,R$118.67,"R$9,628.59","R$11,264.25","R$31,308.03","R$20,817.43","R$24,729.60","R$8,260.20","R$11,979.63",R$176.95,"R$24,468.71","R$22,023.01","R$10,644.05","R$12,703.64","R$15,869.15","R$2,542.89","R$7,628.44",R$0.00
26-Feb/25,"R$318,664.92",-R$454.05,,"R$30,735.28","R$61,060.96","R$9,556.91","R$1,096.95",R$730.91,R$139.64,R$215.47,R$139.93,R$55.33,R$423.72,R$417.19,R$118.51,"R$9,633.63","R$11,268.94","R$31,386.74","R$20,828.86","R$24,467.64","R$8,268.99","R$11,986.03",R$177.04,"R$24,507.49","R$21,952.26","R$10,649.25","R$12,748.73","R$15,943.42","R$2,544.04","R$7,611.07",R$0.00
27-Feb/25,"R$317,814.73",-R$850.19,,"R$30,548.62","R$60,920.46","R$9,530.86","R$1,096.61",R$706.46,R$137.70,R$213.97,R$139.15,R$57.29,R$425.89,R$416.52,R$118.71,"R$9,638.67","R$11,273.64","R$30,886.86","R$20,840.00","R$24,897.36","R$8,272.02","R$11,991.25",R$177.12,"R$24,516.94","R$21,934.86","R$10,655.56","R$12,737.82","R$15,796.57","R$2,545.20","R$7,338.62",R$0.00
28-Feb/25,"R$318,894.78","R$1,080.05",,"R$30,630.04","R$61,643.21","R$9,633.35","R$1,188.16",R$726.87,R$140.47,R$213.52,R$140.53,R$58.25,R$433.70,R$424.75,R$121.00,"R$9,643.72","R$11,278.34","R$31,153.49","R$20,850.81","R$24,474.04","R$8,284.69","R$11,997.47",R$177.21,"R$24,530.15","R$21,946.93","R$10,662.69","R$12,756.50","R$15,897.35","R$2,546.35","R$7,341.18",R$0.00
01-Mar/25,"R$319,066.52",R$171.74,,"R$30,630.04","R$61,643.21","R$9,832.60","R$1,166.17",R$721.35,R$140.47,R$213.52,R$140.53,R$58.25,R$433.70,R$424.75,R$121.00,"R$9,643.72","R$11,278.34","R$31,153.49","R$20,850.81","R$24,474.04","R$8,284.69","R$11,997.47",R$177.21,"R$24,530.15","R$21,946.93","R$10,662.69","R$12,756.50","R$15,897.35","R$2,546.35","R$7,341.18",R$0.00
02-Mar/25,"R$320,376.04","R$1,309.52",,"R$30,630.04","R$61,660.31","R$10,750.64","R$1,097.32",R$824.42,R$140.36,R$213.58,R$140.53,R$58.25,R$433.41,R$424.46,R$120.88,"R$9,648.77","R$11,283.04","R$31,153.49","R$20,850.81","R$24,474.04","R$8,284.69","R$11,997.47",R$177.21,"R$24,530.15","R$21,946.93","R$10,662.69","R$12,756.50","R$15,897.35","R$2,548.66","R$7,670.04",R$0.00
03-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Mar/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Apr/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-May/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jun/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Jul/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Aug/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Sep/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Oct/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
